index_number,game_name,platform,console,release_year,rating,genre,publisher,developer,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count
6961,Wizards of Waverly Place: Spellbound,DS,DS,2010,E,Misc,Disney Interactive Studios,Disney Interactive Studios,0.16,0.06,0,0.02,0.23,\N,\N,\N,\N
6972,NASCAR Thunder 2004,XB,XB,2003,E,Racing,Electronic Arts,EA Games,0.18,0.05,0,0.01,0.23,85,14,9.1,15
6974,LEGO Marvel's Avengers,PSV,PSV,2016,E10+,Action,Warner Bros. Interactive Entertainment,TT Games,0.07,0.11,0,0.05,0.23,\N,\N,6.6,13
6974,LEGO Marvel's Avengers,PSV,PSV,2016,E10+,Action,Warner Bros. Interactive Entertainment,TT Games,0.07,0.11,0,0.05,0.23,60,4,7.1,15
6974,LEGO Marvel's Avengers,PSV,PSV,2016,E10+,Action,Warner Bros. Interactive Entertainment,TT Games,0.07,0.11,0,0.05,0.23,69,4,6.8,15
6974,LEGO Marvel's Avengers,PSV,PSV,2016,E10+,Action,Warner Bros. Interactive Entertainment,TT Games,0.07,0.11,0,0.05,0.23,\N,\N,5.5,8
6974,LEGO Marvel's Avengers,PSV,PSV,2016,E10+,Action,Warner Bros. Interactive Entertainment,TT Games,0.07,0.11,0,0.05,0.23,\N,\N,5.7,6
6974,LEGO Marvel's Avengers,PSV,PSV,2016,E10+,Action,Warner Bros. Interactive Entertainment,TT Games,0.07,0.11,0,0.05,0.23,71,18,5.1,15
6975,Star Wars: The Force Unleashed II,DS,DS,2010,T,Action,LucasArts,LucasArts,0.18,0.04,0,0.02,0.23,59,14,5.8,162
6975,Star Wars: The Force Unleashed II,DS,DS,2010,T,Action,LucasArts,LucasArts,0.18,0.04,0,0.02,0.23,43,5,4,5
6981,Virtua Tennis 4,X360,X360,2011,E,Sports,Sega,Sega,0.11,0.1,0.01,0.02,0.23,66,5,7.3,43
6981,Virtua Tennis 4,X360,X360,2011,E,Sports,Sega,Sega,0.11,0.1,0.01,0.02,0.23,65,15,7.5,4
6981,Virtua Tennis 4,X360,X360,2011,E,Sports,Sega,Sega,0.11,0.1,0.01,0.02,0.23,70,37,6.2,12
6981,Virtua Tennis 4,X360,X360,2011,E,Sports,Sega,Sega,0.11,0.1,0.01,0.02,0.23,69,49,6.6,28
6990,SSX On Tour,PSP,PSP,2005,E,Sports,Electronic Arts,EA Canada,0.19,0.02,0,0.02,0.23,81,35,8.1,10
