Number of Blanks,Rank,Name,Platform,Console,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
0,159,Assassin's Creed,X360,X360,2007,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55
0,160,Batman: Arkham City,PS3,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53
0,161,Forza Motorsport 3,X360,X360,2009,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51
0,162,Monster Hunter Freedom Unite,PSP,PSP,2008,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5
0,163,Super Mario Advance,GBA,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49
0,164,Mario Kart: Super Circuit,GBA,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47
0,165,Super Mario World,GBA,GBA,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46
0,166,Pokemon Stadium,N64,N64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45
0,167,Call of Duty: World at War,PS3,PS3,2008,Shooter,Activision,2.72,1.87,0,0.84,5.43
0,168,Crash Bandicoot: The Wrath of Cortex,PS2,PS2,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42
0,169,Minecraft,PS3,PS3,2014,Misc,Sony Computer Entertainment,1.97,2.51,0,0.94,5.42
0,170,Final Fantasy XIII,PS3,PS3,2009,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36
0,171,Dr. Mario,GB,GB,1989,Puzzle,Nintendo,2.18,0.96,2,0.2,5.34
0,172,Pokemon Pinball,GB,GB,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31
0,173,Assassin's Creed III,X360,X360,2012,Action,Ubisoft,3.13,1.71,0.03,0.44,5.3
0,174,Final Fantasy IX,PS,PS,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3
0,175,Final Fantasy X-2,PS2,PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29
0,176,Donkey Kong 64,N64,N64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27
0,177,Assassin's Creed II,X360,X360,2009,Action,Ubisoft,3.1,1.56,0.08,0.51,5.27
0,178,Professor Layton and the Curious Village,DS,DS,2007,Puzzle,Nintendo,1.22,2.48,1.03,0.52,5.26
0,179,Tomb Raider II,PS,PS,1997,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24
0,180,Madden NFL 2004,PS2,PS2,,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23
0,181,Dragon Quest VIII: Journey of the Cursed King,PS2,PS2,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21
0,182,Diablo III,PC,PC,2012,Role-Playing,Activision,2.43,2.15,0,0.62,5.2
0,183,Super Mario Bros. 3,GBA,GBA,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2
0,184,New Super Mario Bros. U,WiiU,WiiU,2012,Platform,Nintendo,2.32,1.3,1.27,0.31,5.19
0,185,Super Mario Land 3: Wario Land,GB,GB,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19
0,186,FIFA Soccer 13,X360,X360,2012,Action,Electronic Arts,1.08,3.48,0.03,0.58,5.18
0,187,The Legend of Zelda: Phantom Hourglass,DS,DS,2007,Action,Nintendo,1.9,1.83,0.95,0.49,5.17
0,188,Donkey Kong Country 2: Diddy's Kong Quest,SNES,SNES,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15
0,189,Tomodachi Life,3DS,3DS,2013,Simulation,Nintendo,0.96,2.02,1.89,0.28,5.15
0,190,Mario & Sonic at the Olympic Games,DS,DS,2008,Sports,Sega,1.64,2.48,0.44,0.58,5.14
0,191,Medal of Honor: Rising Sun,PS2,PS2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13
0,192,Kirby's Dream Land,GB,GB,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13
0,193,Fable III,X360,X360,2010,Role-Playing,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13
0,194,Call of Duty: Advanced Warfare,XOne,XOne,2014,Shooter,Activision,3.21,1.53,0.01,0.38,5.13
0,195,Microsoft Flight Simulator,PC,PC,1996,Simulation,Microsoft Game Studios,3.22,1.69,0,0.2,5.12
0,196,Guitar Hero II,PS2,PS2,2006,Misc,RedOctane,3.81,0.63,0,0.68,5.12
0,197,Resident Evil 5,PS3,PS3,2009,Action,Capcom,1.96,1.43,1.08,0.65,5.11
0,198,Grand Theft Auto V,XOne,XOne,2014,Action,Take-Two Interactive,2.66,2.01,0,0.41,5.08
0,199,Grand Theft Auto: Vice City Stories,PSP,PSP,2006,Action,Take-Two Interactive,1.7,2.02,0.16,1.21,5.08
0,200,FIFA Soccer 11,PS3,PS3,2010,Sports,Electronic Arts,0.6,3.29,0.06,1.13,5.08
0,201,Super Mario Bros.,GB,GB,1999,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07
0,202,Resident Evil,PS,PS,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05
0,203,Tony Hawk's Pro Skater,PS,PS,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02
0,204,Super Smash Bros. for Wii U and 3DS,WiiU,WiiU,2014,Fighting,Nintendo,2.59,1.06,0.8,0.57,5.02
0,205,Warzone 2100,PS,PS,1999,Strategy,Eidos Interactive,2.79,1.89,0,0.33,5.01
0,206,Spyro the Dragon,PS,PS,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5
0,207,Link's Crossbow Training,Wii,Wii,2007,Shooter,Nintendo,3.06,1.18,0.29,0.46,5
0,208,Guitar Hero III: Legends of Rock,PS2,PS2,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98
0,209,Fallout 3,X360,X360,2008,Role-Playing,Bethesda Softworks,3.39,1.03,0.09,0.44,4.96
0,210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,DS,2007,Role-Playing,Nintendo,1.85,1.2,1.54,0.37,4.96
0,211,Uncharted: Drake's Fortune,PS3,PS3,2007,Action,Sony Computer Entertainment,2.31,1.73,0.12,0.78,4.94
0,212,Madden NFL 06,PS2,PS2,2005,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91
0,213,LEGO Star Wars: The Complete Saga,DS,DS,2007,Action,LucasArts,2.89,1.54,0,0.46,4.9
0,214,Diddy Kong Racing,N64,N64,1997,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88
0,215,Monster Hunter Freedom 3,PSP,PSP,2010,Role-Playing,Capcom,0,0,4.87,0,4.87
0,216,Dr. Mario,NES,NES,1990,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85
0,217,God of War III,PS3,PS3,2010,Action,Sony Computer Entertainment,2.74,1.36,0.12,0.63,4.84
0,218,StarCraft II: Wings of Liberty,PC,PC,2010,Strategy,Activision,2.56,1.68,0,0.59,4.83
0,219,Assassin's Creed,PS3,PS3,2007,Adventure,Ubisoft,1.91,2,0.09,0.83,4.83
0,220,FIFA 15,PS3,PS3,2014,Sports,Electronic Arts,0.57,3.14,0.04,1.07,4.82
0,221,Crash Team Racing,PS,PS,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79
0,222,FIFA 17,PS4,PS4,2016,Sports,Electronic Arts,0.28,3.75,0.06,0.69,4.77
0,223,Batman: Arkham City,X360,X360,2011,Action,Warner Bros. Interactive Entertainment,2.99,1.31,0.04,0.41,4.76
0,224,Driver 2,PS,PS,2000,Action,Atari,2.36,2.1,0.02,0.25,4.73
0,225,The Simpsons: Hit & Run,PS2,PS2,2003,Racing,Vivendi Games,1.73,2.19,0,0.79,4.7
0,226,Tony Hawk's Pro Skater 2,PS,PS,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68
0,227,Animal Crossing: City Folk,Wii,Wii,2008,Simulation,Nintendo,1.87,1.12,1.32,0.37,4.68
0,228,The Lord of the Rings: The Two Towers,PS2,PS2,2002,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67
